epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,12671,1.02776,0.65767,1.0539,0.81886,0.59239,0.67733,0.45023,0.9445,0.58819,0.97021,0.003565,0.003565,0.003565
67,12847.2,1.0245,0.65337,1.05078,0.81666,0.59366,0.6777,0.45041,0.94427,0.58833,0.96964,0.003466,0.003466,0.003466
68,13023.5,1.02349,0.65334,1.05157,0.81812,0.59273,0.67817,0.45082,0.94402,0.58839,0.96916,0.003367,0.003367,0.003367
69,13199.7,1.02055,0.65166,1.0516,0.81618,0.59439,0.6788,0.45172,0.94384,0.58874,0.96867,0.003268,0.003268,0.003268
70,13375.9,1.01927,0.6458,1.04852,0.8158,0.59486,0.679,0.45177,0.9438,0.5887,0.96817,0.003169,0.003169,0.003169
71,13552,1.01887,0.6443,1.04715,0.81524,0.59581,0.6796,0.45219,0.9439,0.58942,0.96773,0.00307,0.00307,0.00307
72,13728.4,1.01717,0.64307,1.04662,0.81596,0.59517,0.67964,0.4525,0.94369,0.5894,0.96718,0.002971,0.002971,0.002971
73,13904.6,1.01604,0.64306,1.04454,0.8146,0.59587,0.67992,0.45296,0.94371,0.58961,0.96662,0.002872,0.002872,0.002872
74,14080.9,1.00797,0.63567,1.0422,0.81652,0.5954,0.68019,0.45339,0.94377,0.5897,0.96611,0.002773,0.002773,0.002773
75,14257.3,1.00743,0.63592,1.04079,0.81688,0.59463,0.68035,0.45386,0.94392,0.59028,0.96552,0.002674,0.002674,0.002674
76,14433.6,1.00377,0.6297,1.03814,0.81806,0.59522,0.68063,0.45412,0.94426,0.59107,0.96512,0.002575,0.002575,0.002575
77,14609.8,1.00516,0.63116,1.03867,0.81798,0.59478,0.68083,0.45473,0.94412,0.59126,0.96451,0.002476,0.002476,0.002476
78,14785.9,1.0031,0.62826,1.03706,0.81626,0.59549,0.6811,0.45501,0.94427,0.5916,0.96402,0.002377,0.002377,0.002377
79,14962.1,0.99535,0.62464,1.03109,0.8161,0.59472,0.68148,0.45538,0.9448,0.59221,0.9636,0.002278,0.002278,0.002278
80,15138.2,0.99443,0.62239,1.0339,0.81411,0.5956,0.68147,0.45548,0.94484,0.59236,0.96313,0.002179,0.002179,0.002179
81,15314.5,0.99437,0.62007,1.03261,0.81184,0.59745,0.68143,0.45576,0.94475,0.59268,0.96259,0.00208,0.00208,0.00208
82,15490.5,0.98903,0.61674,1.02922,0.811,0.59736,0.68161,0.45609,0.94497,0.59323,0.96212,0.001981,0.001981,0.001981
83,15666.7,0.98886,0.61565,1.02924,0.80853,0.59797,0.68219,0.45621,0.94522,0.59364,0.96159,0.001882,0.001882,0.001882
84,15842.8,0.98738,0.61359,1.02973,0.81177,0.59594,0.68241,0.45662,0.94544,0.59399,0.96112,0.001783,0.001783,0.001783
85,16019,0.98339,0.61112,1.02747,0.81154,0.59715,0.68303,0.45695,0.94526,0.59415,0.96057,0.001684,0.001684,0.001684
86,16194.9,0.98515,0.60991,1.02951,0.81144,0.59712,0.68304,0.45725,0.94495,0.59434,0.96007,0.001585,0.001585,0.001585
87,16371.3,0.98035,0.6049,1.02484,0.80865,0.59789,0.68347,0.45763,0.94517,0.59473,0.95958,0.001486,0.001486,0.001486
88,16547.4,0.97663,0.6033,1.02276,0.80966,0.59805,0.68394,0.45803,0.9453,0.59496,0.95909,0.001387,0.001387,0.001387
89,16723.8,0.97529,0.60402,1.0235,0.80914,0.59812,0.68421,0.45821,0.94519,0.59525,0.9586,0.001288,0.001288,0.001288
90,16899.7,0.97093,0.5983,1.02173,0.81184,0.59733,0.68428,0.45871,0.94483,0.59537,0.9581,0.001189,0.001189,0.001189
