,Model,params,FPS,GFLOPs,N_mAP / G_mAP (%),N_mAP,G_mAP,per,car,bus,tru,cyc,mot,data_set
16,v8s_1321_tv,11.21,58.24,29.5,,0.0,0.0,65.83,91.29,81.92,72.87,24.61,62.35,tv
17,v8s_org_tv,11.13,59.11,28.45,83.93,53.29,63.49,65.3,91.01,80.85,69.73,28.36,61.8,tv
18,v8s_P2_1321_tv,11.41,50.05,33.44,,0.0,0.0,68.25,91.78,83.21,73.24,25.19,66.42,tv
19,v8s_P2_3321_tv,11.45,45.26,35.53,,0.0,0.0,68.94,92.19,84.01,74.39,33.16,64.61,tv
20,v8s_P2_tv,11.33,51.03,32.39,89.12,57.89,64.96,68.89,92.06,84.37,73.38,23.69,64.56,tv
21,v5n_b8n5_2442_ta,2.63,200.72,6.94,inf,43.73,0.0,55.24,86.78,68.65,58.73,16.4,51.11,ta
22,v5n_b8n5_4664_ta,2.73,195.04,7.73,inf,44.66,0.0,55.44,87.09,69.26,61.36,12.32,50.49,ta
23,v5n_b8n5_6886_ta,3.17,166.84,8.77,inf,45.63,0.0,55.98,87.13,69.46,59.82,11.26,51.09,ta
24,v8n_b5n8_2442_ta,2.69,194.38,7.31,inf,45.5,0.0,54.36,86.54,68.01,59.32,14.87,50.69,ta
25,v8n_b5n8_4664_ta,2.74,194.57,7.3,inf,41.87,0.0,55.26,86.79,68.09,58.53,14.05,50.56,ta
26,v8n_b5n8_6886_ta,2.96,175.59,7.83,inf,44.04,0.0,55.42,87.38,71.0,60.47,10.71,50.21,ta
